price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,sqft_basement,age_house,building_renewal,statezip
490000.0,2.0,1.0,880.0,6380.0,1.0,0.0,3.0,0.0,76,20,WA 98115
640000.0,4.0,2.0,1520.0,6200.0,1.5,0.0,3.0,0.0,69,4,WA 98115
1400000.0,4.0,2.5,2920.0,4000.0,1.5,0.0,5.0,1010.0,105,26,WA 98105
365000.0,3.0,1.0,1090.0,6435.0,1.0,0.0,4.0,0.0,59,5,WA 98106
1200000.0,5.0,2.75,2910.0,9480.0,1.5,0.0,3.0,0.0,75,45,WA 98105
750000.0,3.0,1.75,2240.0,10578.0,2.0,0.0,5.0,690.0,91,91,WA 98115
626000.0,3.0,2.25,1750.0,1572.0,2.5,0.0,3.0,280.0,9,9,WA 98102
495000.0,4.0,1.75,1600.0,6380.0,1.0,0.0,3.0,470.0,55,25,WA 98125
615000.0,3.0,1.75,2360.0,7291.0,1.0,0.0,4.0,1000.0,66,66,WA 98136
790000.0,3.0,2.5,2600.0,4750.0,1.0,0.0,4.0,900.0,63,15,WA 98117
650000.0,4.0,2.0,1820.0,5000.0,1.5,1.0,3.0,180.0,69,4,WA 98115
440000.0,2.0,1.0,800.0,4850.0,1.0,0.0,4.0,0.0,70,70,WA 98107
750000.0,3.0,2.5,2390.0,6550.0,1.0,2.0,4.0,950.0,59,5,WA 98116
439950.0,3.0,2.5,1770.0,2875.0,2.0,0.0,3.0,0.0,24,5,WA 98116
235000.0,2.0,1.0,1210.0,9400.0,1.0,0.0,2.0,0.0,65,65,WA 98106
445700.0,3.0,2.5,1270.0,1180.0,3.0,0.0,3.0,0.0,13,13,WA 98107
805000.0,3.0,2.0,2710.0,4500.0,1.5,0.0,4.0,830.0,85,85,WA 98115
385000.0,3.0,3.25,1320.0,1327.0,2.0,0.0,3.0,280.0,6,6,WA 98199
295000.0,2.0,2.5,1630.0,1368.0,2.0,0.0,3.0,350.0,5,5,WA 98106
553000.0,2.0,1.0,900.0,5000.0,1.0,0.0,3.0,0.0,70,70,WA 98117
783500.0,3.0,2.5,2850.0,7130.0,2.0,0.0,3.0,860.0,34,34,WA 98122
628000.0,4.0,2.0,2280.0,6010.0,1.0,0.0,3.0,1140.0,114,9,WA 98122
531000.0,2.0,3.0,1270.0,1175.0,2.0,0.0,3.0,160.0,14,14,WA 98103
831000.0,4.0,3.0,2170.0,4000.0,2.0,0.0,4.0,560.0,32,3,WA 98112
580000.0,2.0,1.0,2540.0,7000.0,1.0,0.0,5.0,1220.0,72,72,WA 98118
549000.0,2.0,1.0,1140.0,5400.0,1.0,0.0,5.0,0.0,106,106,WA 98112
405000.0,2.0,3.0,1410.0,1240.0,2.0,0.0,3.0,270.0,8,8,WA 98136
650000.0,3.0,1.5,2160.0,9000.0,1.0,2.0,4.0,760.0,65,29,WA 98177
823000.0,6.0,1.75,2920.0,5000.0,2.5,0.0,4.0,140.0,106,106,WA 98122
770000.0,3.0,2.0,2350.0,5700.0,1.5,0.0,4.0,540.0,75,25,WA 98112
524000.0,3.0,1.75,1560.0,5520.0,1.0,0.0,4.0,780.0,70,70,WA 98199
670000.0,3.0,2.5,1680.0,2000.0,3.0,0.0,3.0,0.0,105,16,WA 98105
406100.0,3.0,2.25,1410.0,1332.0,3.0,0.0,3.0,0.0,9,9,WA 98103
1395000.0,5.0,3.5,4010.0,8510.0,2.0,1.0,5.0,1160.0,43,43,WA 98105
435000.0,5.0,2.0,1840.0,9240.0,1.0,0.0,4.0,300.0,72,56,WA 98133
400000.0,2.0,1.0,840.0,5510.0,1.0,0.0,3.0,0.0,59,9,WA 98136
657100.0,4.0,1.0,1390.0,4240.0,1.0,0.0,3.0,340.0,90,3,WA 98103
740000.0,4.0,1.75,2010.0,3600.0,1.5,0.0,3.0,0.0,112,112,WA 98119
398750.0,3.0,2.5,2230.0,4000.0,2.0,0.0,3.0,0.0,60,9,WA 98144
287000.0,3.0,1.0,1450.0,6000.0,1.0,0.0,4.0,0.0,61,31,WA 98118
600000.0,3.0,1.75,1880.0,6360.0,1.0,0.0,4.0,840.0,69,69,WA 98115
418000.0,3.0,2.0,1410.0,6030.0,1.5,0.0,4.0,0.0,84,84,WA 98103
449250.0,4.0,2.0,1480.0,3844.0,1.5,0.0,5.0,0.0,86,44,WA 98133
329950.0,2.0,1.0,1140.0,5250.0,1.5,0.0,4.0,0.0,65,29,WA 98133
1425000.0,2.0,2.5,2220.0,4000.0,2.0,0.0,3.0,0.0,14,14,WA 98112
585000.0,2.0,1.0,1770.0,8640.0,1.5,0.0,3.0,250.0,65,16,WA 98117
618500.0,3.0,2.0,1800.0,5000.0,1.0,0.0,4.0,720.0,72,32,WA 98115
631625.0,4.0,2.5,2440.0,6651.0,2.0,0.0,3.0,0.0,0,0,WA 98117
340000.0,2.0,1.5,1160.0,1438.0,2.0,0.0,3.0,0.0,13,13,WA 98144
366750.0,3.0,3.0,1571.0,2017.0,3.0,0.0,3.0,0.0,6,6,WA 98125
416286.0,3.0,2.5,1408.0,989.0,3.0,0.0,3.0,0.0,9,9,WA 98115
450000.0,2.0,2.0,1100.0,3000.0,1.5,0.0,3.0,0.0,102,9,WA 98117
353000.0,3.0,1.0,1350.0,7740.0,1.0,0.0,4.0,490.0,67,26,WA 98125
561000.0,3.0,2.0,2000.0,7000.0,2.0,0.0,3.0,0.0,98,28,WA 98136
469000.0,2.0,1.0,1030.0,4400.0,1.0,0.0,3.0,0.0,90,3,WA 98117
329350.0,2.0,1.0,720.0,6687.0,1.0,0.0,3.0,0.0,72,15,WA 98117
488000.0,5.0,2.0,2020.0,5000.0,1.5,0.0,4.0,0.0,76,76,WA 98117
312000.0,4.0,2.0,1300.0,7054.0,1.0,0.0,3.0,0.0,64,1,WA 98146
650000.0,3.0,1.5,1630.0,7475.0,1.0,1.0,3.0,470.0,74,18,WA 98115
325000.0,4.0,2.5,1890.0,6156.0,1.0,0.0,3.0,910.0,34,34,WA 98106
219000.0,2.0,1.0,900.0,5160.0,1.0,0.0,3.0,0.0,62,6,WA 98106
460000.0,2.0,2.25,1230.0,929.0,2.0,0.0,3.0,210.0,10,11,WA 98112
612500.0,4.0,2.0,2060.0,5000.0,1.0,0.0,3.0,1030.0,65,1,WA 98117
313950.0,3.0,1.0,1510.0,6083.0,1.0,0.0,4.0,650.0,74,13,WA 98115
575000.0,3.0,1.75,2130.0,6500.0,1.0,2.0,3.0,960.0,60,9,WA 98199
1225000.0,4.0,2.25,3490.0,6906.0,2.0,0.0,4.0,1210.0,86,86,WA 98199
365000.0,3.0,1.5,1310.0,8160.0,1.0,0.0,3.0,0.0,64,9,WA 98133
1580000.0,4.0,3.25,3760.0,10920.0,1.5,0.0,5.0,1360.0,64,64,WA 98105
484000.0,2.0,1.75,1660.0,6000.0,1.0,0.0,3.0,500.0,72,15,WA 98105
345000.0,3.0,1.0,1110.0,6250.0,1.0,0.0,3.0,0.0,58,13,WA 98115
533000.0,5.0,2.75,1800.0,3780.0,1.5,0.0,3.0,400.0,88,11,WA 98103
385000.0,3.0,1.75,1900.0,5520.0,1.0,0.0,3.0,620.0,32,32,WA 98118
485000.0,3.0,2.0,1420.0,4080.0,1.5,0.0,3.0,0.0,109,1,WA 98103
499000.0,2.0,1.75,1170.0,2400.0,1.0,0.0,4.0,430.0,111,111,WA 98103
1050000.0,3.0,2.5,2200.0,1970.0,2.0,0.0,3.0,590.0,6,6,WA 98102
500000.0,3.0,2.5,1480.0,1171.0,3.0,0.0,3.0,0.0,8,8,WA 98112
390000.0,5.0,3.75,2890.0,5000.0,1.0,0.0,3.0,1580.0,8,8,WA 98144
979000.0,3.0,2.5,2690.0,4047.0,3.0,0.0,3.0,0.0,0,0,WA 98117
369950.0,3.0,2.0,1270.0,1320.0,3.0,0.0,3.0,0.0,8,8,WA 98103
519950.0,3.0,2.25,1170.0,1249.0,3.0,0.0,3.0,0.0,0,0,WA 98107
495000.0,3.0,1.0,990.0,6000.0,1.0,0.0,3.0,0.0,71,12,WA 98105
750000.0,3.0,2.75,2520.0,5401.0,1.0,0.0,4.0,1160.0,68,25,WA 98119
526000.0,2.0,2.0,1550.0,2400.0,1.5,0.0,4.0,0.0,114,43,WA 98103
420000.0,2.0,1.5,1040.0,3500.0,1.5,0.0,4.0,0.0,110,110,WA 98144
749950.0,4.0,2.75,2600.0,6050.0,2.0,0.0,5.0,640.0,65,65,WA 98116
568000.0,3.0,2.0,2350.0,5080.0,1.5,0.0,3.0,570.0,85,85,WA 98118
500000.0,2.0,1.0,1010.0,3885.0,1.5,0.0,4.0,0.0,108,24,WA 98112
475000.0,2.0,1.0,820.0,2723.0,1.0,0.0,3.0,0.0,93,14,WA 98103
352000.0,5.0,2.5,2420.0,8560.0,1.0,2.0,3.0,800.0,36,36,WA 98118
599000.0,3.0,1.75,1960.0,4788.0,1.0,0.0,4.0,870.0,94,94,WA 98115
575000.0,4.0,2.0,1650.0,5000.0,1.0,0.0,3.0,0.0,59,9,WA 98117
705000.0,4.0,2.5,2650.0,4316.0,1.5,0.0,3.0,1130.0,109,1,WA 98116
940000.0,4.0,2.25,1890.0,5940.0,1.0,1.0,3.0,420.0,51,6,WA 98112
485000.0,3.0,2.0,1610.0,4160.0,1.0,0.0,4.0,600.0,97,97,WA 98136
300000.0,2.0,1.0,760.0,3001.0,1.0,0.0,3.0,0.0,101,31,WA 98144
1340000.0,3.0,3.0,2960.0,5500.0,2.0,2.0,3.0,520.0,77,24,WA 98199
361280.0,2.0,1.0,820.0,6400.0,1.0,0.0,4.0,0.0,70,70,WA 98126
440000.0,3.0,1.75,1500.0,6180.0,1.0,0.0,4.0,440.0,67,26,WA 98118
530000.0,3.0,1.0,1340.0,4284.0,1.0,0.0,3.0,260.0,104,8,WA 98105
380000.0,5.0,1.75,3000.0,6000.0,1.0,0.0,5.0,1500.0,56,56,WA 98178
690000.0,3.0,2.0,1760.0,6428.0,1.0,0.0,4.0,780.0,72,32,WA 98199
794154.0,4.0,2.0,2210.0,8556.0,1.0,1.0,4.0,1000.0,60,35,WA 98199
245000.0,3.0,1.5,1260.0,1270.0,2.0,0.0,3.0,220.0,9,9,WA 98133
425000.0,2.0,2.5,1150.0,1027.0,3.0,0.0,3.0,0.0,6,6,WA 98103
365000.0,5.0,2.75,2410.0,5003.0,1.0,0.0,3.0,1000.0,6,6,WA 98118
417250.0,3.0,2.25,1606.0,1452.0,3.0,0.0,3.0,0.0,5,5,WA 98125
339950.0,2.0,1.0,820.0,681.0,3.0,0.0,3.0,0.0,8,8,WA 98103
615000.0,2.0,1.0,1540.0,6872.0,1.0,0.0,4.0,720.0,68,25,WA 98119
533000.0,3.0,1.0,1670.0,4080.0,1.0,0.0,3.0,500.0,47,3,WA 98115
712000.0,3.0,1.0,1250.0,4620.0,1.5,0.0,4.0,100.0,114,43,WA 98103
205000.0,2.0,1.0,720.0,5040.0,1.0,0.0,3.0,0.0,59,9,WA 98106
553650.0,2.0,2.5,1360.0,1349.0,2.0,0.0,3.0,310.0,17,17,WA 98112
719000.0,3.0,2.5,1690.0,4500.0,1.5,1.0,4.0,0.0,86,86,WA 98116
1039000.0,4.0,1.0,3410.0,5000.0,2.0,0.0,5.0,1220.0,104,104,WA 98144
515000.0,2.0,1.0,1060.0,4960.0,1.0,0.0,3.0,0.0,88,11,WA 98103
207000.0,3.0,1.0,1490.0,8995.0,1.0,0.0,4.0,0.0,60,35,WA 98168
385000.0,3.0,1.75,1890.0,9920.0,1.0,0.0,3.0,660.0,70,70,WA 98125
235000.0,2.0,1.0,1270.0,3008.0,1.0,0.0,4.0,620.0,91,91,WA 98118
358000.0,2.0,1.5,960.0,1808.0,2.0,0.0,3.0,0.0,21,21,WA 98122
228000.0,4.0,1.75,2000.0,6120.0,1.0,0.0,3.0,900.0,49,21,WA 98178
405000.0,2.0,1.0,1020.0,8155.0,1.0,0.0,4.0,0.0,66,66,WA 98177
636000.0,2.0,1.75,1230.0,3600.0,1.5,0.0,5.0,0.0,89,89,WA 98119
530000.0,4.0,2.75,2280.0,2850.0,1.5,0.0,4.0,740.0,84,84,WA 98115
230000.0,3.0,1.75,950.0,6000.0,1.0,0.0,3.0,160.0,75,45,WA 98108
1307000.0,5.0,3.25,2800.0,3200.0,1.5,0.0,5.0,890.0,82,12,WA 98109
660000.0,3.0,1.75,1320.0,5750.0,1.5,0.0,5.0,0.0,96,96,WA 98116
413450.0,3.0,2.5,1540.0,1614.0,3.0,0.0,3.0,70.0,6,6,WA 98103
930000.0,3.0,3.25,2640.0,4080.0,2.0,0.0,3.0,800.0,102,14,WA 98105
835000.0,4.0,2.0,1910.0,6960.0,1.5,0.0,5.0,0.0,73,73,WA 98103
500000.0,3.0,1.75,1410.0,1197.0,3.0,0.0,3.0,0.0,2,102,WA 98103
499000.0,2.0,1.5,1110.0,957.0,2.0,0.0,3.0,180.0,9,9,WA 98119
321950.0,2.0,1.25,860.0,1277.0,2.0,0.0,3.0,0.0,7,7,WA 98144
441750.0,2.0,1.5,1020.0,1060.0,3.0,0.0,3.0,0.0,6,6,WA 98103
438000.0,2.0,1.0,980.0,1179.0,2.0,0.0,3.0,0.0,4,4,WA 98119
460000.0,4.0,1.75,1750.0,5500.0,1.5,0.0,5.0,700.0,88,88,WA 98117
445000.0,4.0,2.0,1650.0,6000.0,1.0,0.0,5.0,650.0,55,55,WA 98144
490000.0,2.0,1.0,1840.0,3300.0,1.5,0.0,4.0,710.0,104,104,WA 98107
270000.0,3.0,1.5,1500.0,6337.0,1.0,0.0,5.0,0.0,61,61,WA 98125
382000.0,3.0,3.25,1410.0,1253.0,3.0,0.0,3.0,0.0,9,9,WA 98103
536500.0,4.0,1.75,2000.0,4000.0,1.5,0.0,5.0,550.0,88,88,WA 98126
463000.0,2.0,1.0,1150.0,4400.0,1.0,0.0,4.0,0.0,109,109,WA 98112
742500.0,4.0,2.75,3100.0,3773.0,2.0,0.0,3.0,1100.0,95,18,WA 98122
325000.0,3.0,2.25,1352.0,1694.0,3.0,0.0,3.0,0.0,7,7,WA 98125
481450.0,3.0,2.0,1410.0,4800.0,1.0,0.0,3.0,0.0,74,18,WA 98117
252500.0,3.0,1.0,1030.0,6127.0,1.0,0.0,3.0,150.0,67,2,WA 98125
536000.0,3.0,1.75,1300.0,5413.0,1.5,0.0,3.0,0.0,89,22,WA 98115
445000.0,2.0,2.0,1150.0,6634.0,1.0,0.0,3.0,290.0,74,18,WA 98115
769900.0,4.0,3.5,2730.0,3047.0,2.0,0.0,3.0,330.0,8,8,WA 98116
212000.0,2.0,1.5,1020.0,1525.0,2.0,0.0,3.0,0.0,10,11,WA 98133
376000.0,3.0,2.0,1340.0,1384.0,3.0,0.0,3.0,0.0,6,6,WA 98103
324000.0,3.0,2.25,998.0,904.0,2.0,0.0,3.0,200.0,7,7,WA 98117
549900.0,5.0,2.75,3060.0,7015.0,1.0,0.0,5.0,1460.0,35,35,WA 98146
875000.0,4.0,2.0,2520.0,6000.0,1.0,0.0,3.0,1120.0,93,7,WA 98103
394950.0,3.0,2.5,1350.0,1250.0,3.0,0.0,3.0,80.0,8,8,WA 98136
842500.0,4.0,2.5,2160.0,5298.0,2.5,0.0,4.0,0.0,112,112,WA 98122
368000.0,3.0,2.5,1370.0,1350.0,2.0,0.0,3.0,360.0,7,7,WA 98136
885000.0,4.0,2.5,2830.0,5000.0,2.0,0.0,3.0,0.0,19,19,WA 98105
490000.0,2.0,2.5,1230.0,1391.0,2.0,0.0,3.0,360.0,10,11,WA 98112
235000.0,1.0,1.0,810.0,2451.0,1.0,0.0,5.0,0.0,73,73,WA 98126
255000.0,2.0,1.0,1220.0,2500.0,1.0,0.0,3.0,450.0,104,8,WA 98126
350000.0,2.0,1.0,910.0,4500.0,1.5,0.0,4.0,0.0,108,24,WA 98118
582000.0,4.0,1.75,2120.0,4650.0,1.0,1.0,3.0,930.0,63,20,WA 98117
1315000.0,4.0,3.5,3460.0,3997.0,2.0,0.0,3.0,900.0,10,11,WA 98103
372500.0,5.0,3.0,2480.0,10090.0,1.0,0.0,3.0,1180.0,10,11,WA 98178
360000.0,4.0,2.0,1730.0,5500.0,1.0,0.0,5.0,720.0,71,71,WA 98106
210000.0,3.0,2.5,1040.0,2643.0,2.0,0.0,3.0,320.0,10,11,WA 98118
770000.0,3.0,1.75,1720.0,5000.0,1.0,0.0,3.0,0.0,60,0,WA 98122
499950.0,3.0,1.0,980.0,6380.0,1.0,0.0,3.0,220.0,73,20,WA 98115
500000.0,2.0,2.25,1290.0,1334.0,3.0,0.0,3.0,0.0,7,7,WA 98107
870300.0,4.0,2.5,2350.0,3150.0,1.5,0.0,4.0,660.0,104,104,WA 98103
315275.0,3.0,1.75,1440.0,8040.0,1.0,0.0,3.0,480.0,63,20,WA 98125
505000.0,4.0,1.75,1940.0,4800.0,1.0,0.0,5.0,910.0,92,58,WA 98122
610000.0,4.0,3.0,2110.0,5000.0,1.5,2.0,4.0,470.0,84,84,WA 98136
910000.0,3.0,2.0,2700.0,6120.0,1.0,0.0,4.0,1350.0,52,52,WA 98115
840000.0,4.0,2.75,2600.0,2750.0,1.5,0.0,3.0,980.0,78,78,WA 98109
300000.0,2.0,1.75,1360.0,8100.0,1.0,0.0,3.0,500.0,39,39,WA 98177
675000.0,4.0,3.0,2400.0,3340.0,1.0,0.0,4.0,1200.0,50,50,WA 98107
734200.0,4.0,2.5,2760.0,5000.0,1.5,0.0,5.0,1080.0,86,44,WA 98107
630000.0,4.0,2.0,1770.0,6000.0,2.0,0.0,5.0,0.0,103,33,WA 98199
301500.0,2.0,1.5,830.0,1333.0,2.0,0.0,3.0,0.0,9,9,WA 98136
369000.0,2.0,2.5,980.0,895.0,2.0,0.0,3.0,310.0,5,5,WA 98116
635000.0,3.0,2.5,1570.0,1433.0,3.0,0.0,3.0,0.0,4,4,WA 98103
625000.0,3.0,3.5,1810.0,1846.0,2.0,0.0,4.0,370.0,5,5,WA 98122
525000.0,5.0,3.0,2450.0,4591.0,2.0,0.0,3.0,0.0,20,20,WA 98117
628000.0,4.0,2.0,2260.0,6000.0,1.0,0.0,3.0,830.0,56,10,WA 98115
245000.0,5.0,1.75,2020.0,7902.0,1.0,0.0,3.0,800.0,52,11,WA 98168
415000.0,3.0,1.75,1960.0,5000.0,1.0,0.0,5.0,980.0,103,30,WA 98108
799200.0,6.0,3.0,2890.0,2370.0,2.5,0.0,3.0,600.0,108,0,WA 98102
591000.0,3.0,1.75,1680.0,2400.0,1.0,0.0,5.0,810.0,92,58,WA 98122
575000.0,3.0,1.75,1580.0,11750.0,1.0,0.0,4.0,400.0,63,15,WA 98118
771000.0,3.0,2.25,1780.0,6120.0,1.5,0.0,4.0,390.0,87,87,WA 98122
155000.0,2.0,1.0,910.0,6232.0,1.0,0.0,3.0,0.0,71,12,WA 98118
717000.0,3.0,1.5,1310.0,3880.0,1.0,0.0,3.0,220.0,58,13,WA 98117
225000.0,3.0,1.0,1040.0,6535.0,1.0,0.0,3.0,0.0,67,2,WA 98168
230000.0,2.0,0.75,650.0,5360.0,1.0,0.0,4.0,0.0,83,83,WA 98133
385000.0,3.0,2.0,1480.0,6600.0,1.0,2.0,3.0,740.0,71,12,WA 98146
665000.0,3.0,2.0,1940.0,5820.0,1.5,0.0,5.0,790.0,70,70,WA 98107
620000.0,3.0,1.0,1710.0,4050.0,1.5,0.0,3.0,0.0,105,10,WA 98103
1105000.0,4.0,1.5,2740.0,4000.0,2.0,0.0,5.0,810.0,109,109,WA 98109
450000.0,3.0,2.75,1250.0,892.0,2.0,0.0,3.0,210.0,4,4,WA 98116
560000.0,3.0,1.0,1440.0,5000.0,2.0,0.0,3.0,0.0,104,8,WA 98103
413000.0,4.0,1.0,1410.0,6000.0,1.0,0.0,3.0,600.0,89,12,WA 98126
570000.0,3.0,2.0,1530.0,5401.0,1.0,0.0,4.0,0.0,77,77,WA 98115
465000.0,3.0,1.5,1270.0,5112.0,1.0,0.0,3.0,0.0,64,9,WA 98115
525000.0,3.0,2.5,1580.0,1161.0,2.0,0.0,3.0,570.0,6,6,WA 98112
870000.0,4.0,2.5,3520.0,6773.0,2.5,0.0,3.0,870.0,8,8,WA 98136
650000.0,4.0,2.5,2210.0,4861.0,2.0,0.0,3.0,0.0,1,91,WA 98117
330000.0,3.0,2.5,1450.0,5008.0,1.0,0.0,3.0,610.0,7,7,WA 98106
385000.0,4.0,1.75,1620.0,4980.0,1.0,0.0,4.0,760.0,67,26,WA 98133
306000.0,3.0,1.5,1220.0,1086.0,3.0,0.0,3.0,0.0,7,7,WA 98133
546000.0,3.0,1.75,2000.0,5000.0,1.0,0.0,4.0,890.0,93,93,WA 98117
800000.0,3.0,1.0,1700.0,4400.0,1.5,0.0,4.0,0.0,108,24,WA 98122
620000.0,5.0,2.5,2540.0,3832.0,2.0,0.0,5.0,780.0,85,85,WA 98117
372220.0,3.0,1.0,1290.0,5500.0,1.0,0.0,3.0,310.0,63,20,WA 98136
337500.0,5.0,2.0,1700.0,7314.0,1.0,0.0,3.0,700.0,58,13,WA 98108
582500.0,2.0,1.5,1159.0,4800.0,1.0,0.0,3.0,0.0,66,20,WA 98199
405100.0,2.0,1.0,840.0,3522.0,1.0,0.0,3.0,0.0,67,2,WA 98199
538000.0,3.0,1.75,1400.0,3825.0,1.5,0.0,4.0,300.0,110,110,WA 98117
1400000.0,3.0,2.5,2550.0,7200.0,2.0,2.0,3.0,0.0,33,1,WA 98144
702500.0,3.0,1.5,2360.0,6750.0,2.0,0.0,5.0,430.0,88,88,WA 98103
682000.0,3.0,1.75,1830.0,5120.0,1.5,2.0,5.0,0.0,111,111,WA 98122
525000.0,3.0,1.75,1600.0,6120.0,1.5,0.0,3.0,0.0,90,3,WA 98115
394475.0,2.0,1.0,830.0,4000.0,1.0,0.0,3.0,0.0,59,9,WA 98117
339950.0,3.0,1.0,1050.0,5402.0,1.5,0.0,4.0,0.0,108,24,WA 98144
715000.0,4.0,2.25,2060.0,5649.0,1.0,0.0,5.0,700.0,73,73,WA 98199
458000.0,3.0,1.0,1660.0,7500.0,1.0,0.0,4.0,600.0,74,13,WA 98125
607500.0,5.0,1.75,2220.0,6000.0,1.5,0.0,3.0,800.0,91,16,WA 98199
400000.0,2.0,1.0,980.0,2130.0,1.0,0.0,4.0,120.0,96,40,WA 98117
300000.0,3.0,1.0,1260.0,8280.0,1.0,0.0,3.0,0.0,68,68,WA 98115
185000.0,3.0,1.0,1150.0,8100.0,1.0,0.0,3.0,0.0,82,82,WA 98168
451555.0,2.0,1.0,1320.0,4520.0,1.0,1.0,3.0,0.0,102,43,WA 98116
349950.0,3.0,1.0,1400.0,7066.0,1.0,0.0,3.0,0.0,57,14,WA 98125
613000.0,4.0,2.0,1550.0,4815.0,1.5,0.0,3.0,0.0,105,10,WA 98103
197500.0,3.0,1.0,980.0,3090.0,1.5,0.0,3.0,0.0,111,9,WA 98118
1255000.0,4.0,2.5,3200.0,7535.0,2.0,0.0,3.0,0.0,8,8,WA 98105
575000.0,2.0,1.0,1490.0,6000.0,1.0,0.0,3.0,400.0,68,68,WA 98112
585000.0,5.0,1.75,2000.0,3750.0,2.0,0.0,4.0,0.0,93,93,WA 98103
790000.0,3.0,1.75,1790.0,6117.0,1.0,2.0,3.0,440.0,74,18,WA 98199
